,NAME,S1901_C01_001E
1243, 78118,1079
1244, 78119,1854
1245, 78121,4327
1246, 78122,185
1247, 78123,1101
1248, 78124,2248
1249, 78125,34
1250, 78130,26343
1251, 78132,9812
1252, 78133,7385
1253, 78140,1229
1254, 78141,202
1255, 78142,45
1256, 78143,39
1257, 78144,43
1258, 78145,53
1259, 78146,163
1260, 78147,658
1261, 78148,7860
1262, 78150,0
1263, 78151,495
1264, 78152,657
1265, 78154,13825
1266, 78155,17460
1267, 78159,368
1268, 78160,1671
1269, 78161,301
1270, 78162,113
1271, 78163,3738
1272, 78164,1362
1273, 78201,16314
1274, 78202,3848
1275, 78203,1976
1276, 78204,4279
1277, 78205,949
1278, 78207,15351
1279, 78208,1552
1280, 78209,17823
1281, 78210,12469
1282, 78211,9157
1283, 78212,10805
1284, 78213,16098
1285, 78214,7609
1286, 78215,1783
1287, 78216,17177
1288, 78217,13786
1289, 78218,12458
1290, 78219,5785
1291, 78220,5381
1292, 78221,11535
1293, 78222,7472
1294, 78223,17808
1295, 78224,5692
1296, 78225,4174
1297, 78226,2457
1298, 78227,14396
1299, 78228,18437
1300, 78229,13932
1301, 78230,18638
1302, 78231,3304
1303, 78232,15536
1304, 78233,16920
1305, 78234,953
1306, 78235,531
1307, 78236,402
1308, 78237,11073
1309, 78238,8974
1310, 78239,9020
1311, 78240,23610
1312, 78242,8855
1313, 78243,0
1314, 78244,9422
1315, 78245,21675
1316, 78247,17408
1317, 78248,5539
1318, 78249,20073
1319, 78250,18794
1320, 78251,20144
1321, 78252,2743
1322, 78253,12812
1323, 78254,17020
1324, 78255,4360
1325, 78256,4114
1326, 78257,2754
1327, 78258,16079
1328, 78259,9101
1329, 78260,8692
1330, 78261,5735
1331, 78263,1620
1332, 78264,3089
1333, 78266,2304
1334, 78330,318
1335, 78332,9349
1336, 78335,0
1337, 78336,4213
1338, 78338,16
1339, 78339,163
1340, 78340,188
1341, 78341,808
1342, 78342,132
1343, 78343,1486
1344, 78344,123
1345, 78349,177
1346, 78351,125
1347, 78352,111
1348, 78353,140
1349, 78355,1992
1350, 78357,869
1351, 78358,274
1352, 78359,645
1353, 78361,1735
1354, 78362,3641
1355, 78363,10459
1356, 78368,3242
1357, 78369,131
1358, 78370,1575
1359, 78371,117
1360, 78372,1597
1361, 78373,2023
1362, 78374,6197
1363, 78375,907
1364, 78376,224
1365, 78377,1245
1366, 78379,482
1367, 78380,7783
1368, 78382,8144
1369, 78383,1588
1370, 78384,1670
1371, 78385,183
1372, 78387,3230
1373, 78389,538
1374, 78390,1895
1375, 78391,73
1376, 78393,817
1377, 78401,1740
1378, 78402,137
1379, 78404,6990
1380, 78405,5293
1381, 78406,383
1382, 78407,1043
1383, 78408,4271
1384, 78409,967
1385, 78410,9479
1386, 78411,10075
1387, 78412,14775
1388, 78413,15026
1389, 78414,14416
1390, 78415,13442
1391, 78416,5091
1392, 78417,1328
1393, 78418,12273
1394, 78419,161
1395, 78501,20913
1396, 78503,6390
1397, 78504,17936
1398, 78516,9539
1399, 78520,17963
1400, 78521,25264
1401, 78526,12619
1402, 78535,217
1403, 78536,93
1404, 78537,12137
1405, 78538,3091
1406, 78539,11164
1407, 78541,12817
1408, 78542,16670
1409, 78543,2491
1410, 78545,162
1411, 78548,180
1412, 78549,254
1413, 78550,16638
1414, 78552,12117
1415, 78557,3523
1416, 78558,206
1417, 78559,3945
1418, 78560,1354
1419, 78561,175
1420, 78562,793
1421, 78563,78
1422, 78564,45
1423, 78565,51
1424, 78566,4881
1425, 78567,156
1426, 78569,1233
1427, 78570,9060
1428, 78572,24134
1429, 78573,9920
1430, 78574,15443
1431, 78575,3445
1432, 78576,2717
1433, 78577,21609
1434, 78578,4233
1435, 78579,1293
1436, 78580,3726
1437, 78582,10702
1438, 78583,2635
1439, 78584,4955
1440, 78585,94
1441, 78586,15758
1442, 78588,57
1443, 78589,10768
1444, 78590,82
1445, 78591,99
1446, 78592,259
